Target Distance: 50, steps size :2
0: (x,y)=(0.381618 , -1.96325)
1: (x,y)=(-1.15047 , -0.677679)
2: (x,y)=(-0.666627 , 1.26291)
3: (x,y)=(-2.34397 , 0.173634)
4: (x,y)=(-3.22071 , -1.62395)
5: (x,y)=(-4.3391 , -3.28203)
6: (x,y)=(-2.35005 , -3.49109)
7: (x,y)=(-4.14764 , -4.36783)
8: (x,y)=(-5.53696 , -2.92915)
9: (x,y)=(-3.58822 , -2.47925)
10: (x,y)=(-2.6186 , -4.22849)
11: (x,y)=(-2.89694 , -6.20902)
12: (x,y)=(-1.38753 , -7.52114)
13: (x,y)=(-2.23276 , -5.70852)
14: (x,y)=(-2.37227 , -7.70365)
15: (x,y)=(-1.95645 , -5.74736)
16: (x,y)=(-0.0892903 , -5.03062)
17: (x,y)=(1.69272 , -5.9386)
18: (x,y)=(3.33103 , -4.79145)
19: (x,y)=(4.23901 , -3.00944)
20: (x,y)=(6.23779 , -2.93964)
21: (x,y)=(4.23901 , -3.00944)
22: (x,y)=(5.20863 , -4.75868)
23: (x,y)=(7.02124 , -5.60391)
24: (x,y)=(8.97754 , -5.18809)
25: (x,y)=(9.88552 , -3.40608)
26: (x,y)=(10.3013 , -1.44978)
27: (x,y)=(12.1807 , -2.13382)
28: (x,y)=(10.8686 , -0.624402)
29: (x,y)=(12.6957 , -1.43788)
30: (x,y)=(10.7067 , -1.64693)
31: (x,y)=(11.1905 , -3.58752)
32: (x,y)=(10.2825 , -1.80551)
33: (x,y)=(8.8932 , -0.366831)
34: (x,y)=(7.4305 , 0.997166)
35: (x,y)=(6.22687 , -0.600105)
36: (x,y)=(8.19648 , -0.252809)
37: (x,y)=(6.88436 , 1.25661)
38: (x,y)=(8.22262 , -0.22968)
39: (x,y)=(6.60459 , 0.945891)
40: (x,y)=(4.98656 , 2.12146)
41: (x,y)=(4.33542 , 0.230424)
42: (x,y)=(4.61377 , -1.75011)
43: (x,y)=(6.44086 , -2.56359)
44: (x,y)=(5.41078 , -4.27792)
45: (x,y)=(6.50006 , -2.60058)
46: (x,y)=(7.67563 , -0.982545)
47: (x,y)=(7.32833 , -2.95216)
48: (x,y)=(9.06038 , -1.95216)
49: (x,y)=(10.6147 , -3.2108)
50: (x,y)=(12.2119 , -4.41443)
51: (x,y)=(12.0029 , -6.40347)
52: (x,y)=(10.3849 , -5.2279)
53: (x,y)=(8.99554 , -3.78922)
54: (x,y)=(7.96546 , -5.50356)
55: (x,y)=(9.73136 , -4.56462)
56: (x,y)=(7.81875 , -5.14936)
57: (x,y)=(9.28146 , -6.51336)
58: (x,y)=(11.2568 , -6.20049)
59: (x,y)=(9.37745 , -6.88453)
60: (x,y)=(10.1909 , -8.71162)
61: (x,y)=(10.9724 , -6.87061)
62: (x,y)=(9.854 , -5.21253)
63: (x,y)=(10.3039 , -7.16127)
64: (x,y)=(8.43674 , -7.87801)
65: (x,y)=(7.07274 , -6.4153)
66: (x,y)=(8.83864 , -5.47636)
67: (x,y)=(9.08238 , -3.49127)
68: (x,y)=(8.87332 , -5.48031)
69: (x,y)=(10.7527 , -6.16435)
70: (x,y)=(10.4054 , -4.19474)
71: (x,y)=(10.787 , -6.15799)
72: (x,y)=(10.3032 , -4.2174)
73: (x,y)=(12.2053 , -3.59936)
74: (x,y)=(10.9467 , -2.04507)
75: (x,y)=(12.8593 , -2.62982)
76: (x,y)=(13.3769 , -0.697964)
77: (x,y)=(11.3796 , -0.802636)
78: (x,y)=(10.5344 , 1.00998)
79: (x,y)=(12.3754 , 0.228517)
80: (x,y)=(10.7371 , 1.37567)
81: (x,y)=(12.0492 , -0.133749)
82: (x,y)=(11.0796 , -1.88299)
83: (x,y)=(9.18857 , -1.23185)
84: (x,y)=(9.36288 , 0.760537)
85: (x,y)=(8.36288 , 2.49259)
86: (x,y)=(9.3325 , 4.24183)
87: (x,y)=(7.51989 , 5.08706)
88: (x,y)=(8.80546 , 3.55498)
89: (x,y)=(9.8653 , 1.85888)
90: (x,y)=(11.8577 , 1.68457)
91: (x,y)=(10.9809 , 3.48216)
92: (x,y)=(12.9563 , 3.79502)
93: (x,y)=(14.9369 , 3.51668)
94: (x,y)=(14.9718 , 1.51698)
95: (x,y)=(15.2501 , 3.49752)
96: (x,y)=(14.103 , 5.13582)
97: (x,y)=(15.0726 , 3.38658)
98: (x,y)=(13.132 , 3.87043)
99: (x,y)=(14.864 , 4.87043)
100: (x,y)=(13.0981 , 5.80937)
101: (x,y)=(11.6119 , 7.14763)
102: (x,y)=(9.61459 , 7.04296)
103: (x,y)=(9.13075 , 5.10237)
104: (x,y)=(10.8966 , 6.04131)
105: (x,y)=(12.2349 , 4.55502)
106: (x,y)=(11.5182 , 6.42218)
107: (x,y)=(13.3453 , 5.60871)
108: (x,y)=(11.931 , 7.02292)
109: (x,y)=(11.6527 , 9.00346)
110: (x,y)=(13.0167 , 7.54075)
111: (x,y)=(11.2508 , 8.47969)
112: (x,y)=(12.5629 , 9.98911)
113: (x,y)=(10.6311 , 9.47148)
114: (x,y)=(8.63868 , 9.29716)
115: (x,y)=(10.6238 , 9.5409)
116: (x,y)=(12.038 , 8.12669)
117: (x,y)=(11.0684 , 9.87593)
118: (x,y)=(12.7264 , 10.9943)
119: (x,y)=(11.2637 , 12.3583)
120: (x,y)=(12.2334 , 14.1076)
121: (x,y)=(11.9205 , 12.1322)
122: (x,y)=(11.3357 , 10.2196)
123: (x,y)=(11.9869 , 12.1106)
124: (x,y)=(11.4021 , 10.198)
125: (x,y)=(9.47961 , 10.7493)
126: (x,y)=(11.2922 , 11.5945)
127: (x,y)=(13.1833 , 12.2456)
128: (x,y)=(12.6994 , 14.1862)
129: (x,y)=(13.6074 , 15.9682)
130: (x,y)=(13.989 , 14.005)
131: (x,y)=(12.7577 , 15.581)
132: (x,y)=(10.8905 , 14.8643)
133: (x,y)=(10.4067 , 16.8049)
134: (x,y)=(9.92285 , 14.8643)
135: (x,y)=(8.63727 , 13.3322)
136: (x,y)=(9.75566 , 14.9903)
137: (x,y)=(11.7408 , 15.234)
138: (x,y)=(9.94316 , 14.3573)
139: (x,y)=(10.8511 , 16.1393)
140: (x,y)=(12.6922 , 15.3578)
141: (x,y)=(14.4065 , 16.3879)
142: (x,y)=(14.4763 , 18.3867)
143: (x,y)=(14.0947 , 16.4234)
144: (x,y)=(12.7054 , 14.9847)
145: (x,y)=(11.067 , 16.1319)
146: (x,y)=(9.58076 , 17.4701)
147: (x,y)=(7.58198 , 17.4003)
148: (x,y)=(7.37292 , 15.4113)
149: (x,y)=(5.39238 , 15.6897)
150: (x,y)=(6.9018 , 14.3775)
151: (x,y)=(8.55988 , 13.2591)
152: (x,y)=(9.14462 , 15.1718)
153: (x,y)=(9.31893 , 17.1641)
154: (x,y)=(10.9162 , 18.3678)
155: (x,y)=(12.5935 , 17.2785)
156: (x,y)=(11.8768 , 15.4113)
157: (x,y)=(12.6903 , 13.5842)
158: (x,y)=(11.1143 , 12.3529)
159: (x,y)=(9.70005 , 10.9387)
160: (x,y)=(11.6988 , 10.8689)
161: (x,y)=(10.1894 , 12.181)
162: (x,y)=(12.1745 , 11.9373)
163: (x,y)=(10.2835 , 11.2862)
164: (x,y)=(9.37548 , 9.50414)
165: (x,y)=(8.65875 , 7.63698)
166: (x,y)=(9.68882 , 5.92264)
167: (x,y)=(7.71345 , 6.23551)
168: (x,y)=(6.48213 , 7.81154)
169: (x,y)=(8.37316 , 8.46267)
170: (x,y)=(7.82189 , 10.3852)
171: (x,y)=(7.27061 , 12.3077)
172: (x,y)=(8.52925 , 13.862)
173: (x,y)=(6.58866 , 13.3782)
174: (x,y)=(8.58105 , 13.5525)
175: (x,y)=(8.82479 , 11.5674)
176: (x,y)=(10.7042 , 10.8833)
177: (x,y)=(12.636 , 11.401)
178: (x,y)=(14.3853 , 10.4314)
179: (x,y)=(13.5085 , 8.63378)
180: (x,y)=(11.5234 , 8.39004)
181: (x,y)=(9.61082 , 8.97478)
182: (x,y)=(9.88917 , 10.9553)
183: (x,y)=(8.55091 , 12.4416)
184: (x,y)=(7.80169 , 10.5872)
185: (x,y)=(9.77707 , 10.2744)
186: (x,y)=(11.5263 , 9.30475)
187: (x,y)=(10.0636 , 10.6687)
188: (x,y)=(10.6149 , 8.74622)
189: (x,y)=(8.6395 , 8.43336)
190: (x,y)=(7.49235 , 6.79505)
191: (x,y)=(7.97619 , 4.85446)
192: (x,y)=(6.09681 , 4.17042)
193: (x,y)=(4.75855 , 2.68413)
194: (x,y)=(6.75093 , 2.50982)
195: (x,y)=(6.99467 , 4.49491)
196: (x,y)=(8.96429 , 4.14761)
197: (x,y)=(7.00103 , 4.52923)
198: (x,y)=(5.82546 , 6.14727)
199: (x,y)=(4.88652 , 7.91316)
200: (x,y)=(2.90599 , 7.63482)
201: (x,y)=(1.70235 , 6.03754)
202: (x,y)=(1.4933 , 8.02659)
203: (x,y)=(0.776562 , 9.89375)
204: (x,y)=(1.55802 , 11.7348)
205: (x,y)=(3.34004 , 10.8268)
206: (x,y)=(3.02717 , 8.8514)
207: (x,y)=(3.34004 , 6.87602)
208: (x,y)=(5.29633 , 6.4602)
209: (x,y)=(4.81249 , 8.40079)
210: (x,y)=(6.43052 , 9.57636)
211: (x,y)=(4.43813 , 9.75067)
212: (x,y)=(4.33346 , 7.75342)
213: (x,y)=(3.39452 , 9.51931)
214: (x,y)=(1.39452 , 9.51931)
215: (x,y)=(3.17653 , 10.4273)
216: (x,y)=(2.49249 , 12.3067)
217: (x,y)=(0.743252 , 13.2763)
218: (x,y)=(-1.1886 , 13.7939)
219: (x,y)=(0.429434 , 14.9695)
220: (x,y)=(-1.24791 , 13.8802)
221: (x,y)=(-1.17811 , 11.8814)
222: (x,y)=(-3.1344 , 11.4656)
223: (x,y)=(-1.93077 , 13.0629)
224: (x,y)=(-3.46286 , 14.3485)
225: (x,y)=(-5.44795 , 14.1047)
226: (x,y)=(-3.47258 , 14.4176)
227: (x,y)=(-4.75815 , 15.9497)
228: (x,y)=(-2.76302 , 15.8102)
229: (x,y)=(-4.17724 , 17.2244)
230: (x,y)=(-5.20731 , 18.9387)
231: (x,y)=(-4.11804 , 20.6161)
232: (x,y)=(-2.1375 , 20.8944)
233: (x,y)=(-3.73477 , 19.6908)
234: (x,y)=(-5.69107 , 20.1066)
235: (x,y)=(-4.45974 , 18.5306)
236: (x,y)=(-6.423 , 18.149)
237: (x,y)=(-5.39292 , 16.4346)
238: (x,y)=(-5.70579 , 18.41)
239: (x,y)=(-7.70549 , 18.4449)
240: (x,y)=(-6.31617 , 19.8836)
241: (x,y)=(-7.73038 , 21.2978)
242: (x,y)=(-9.09438 , 19.8351)
243: (x,y)=(-11.0868 , 19.6608)
244: (x,y)=(-11.638 , 17.7383)
245: (x,y)=(-10.274 , 19.201)
246: (x,y)=(-11.9514 , 18.1117)
247: (x,y)=(-13.0698 , 16.4536)
248: (x,y)=(-12.3857 , 18.333)
249: (x,y)=(-13.0698 , 16.4536)
250: (x,y)=(-14.6878 , 17.6292)
251: (x,y)=(-14.2379 , 15.6804)
252: (x,y)=(-16.14 , 16.2985)
253: (x,y)=(-14.3129 , 15.485)
254: (x,y)=(-16.0622 , 14.5154)
255: (x,y)=(-18.0512 , 14.7244)
256: (x,y)=(-19.9638 , 15.3092)
257: (x,y)=(-21.5398 , 14.0779)
258: (x,y)=(-23.5371 , 14.1825)
259: (x,y)=(-21.841 , 15.2424)
260: (x,y)=(-23.2552 , 13.8282)
261: (x,y)=(-22.3163 , 12.0623)
262: (x,y)=(-22.2814 , 14.062)
263: (x,y)=(-22.8326 , 15.9845)
264: (x,y)=(-24.6453 , 16.8297)
265: (x,y)=(-25.9039 , 18.384)
266: (x,y)=(-24.7283 , 20.002)
267: (x,y)=(-22.7877 , 19.5182)
268: (x,y)=(-21.6985 , 17.8409)
269: (x,y)=(-19.8858 , 18.6861)
270: (x,y)=(-21.8264 , 19.1699)
271: (x,y)=(-19.8632 , 18.7883)
272: (x,y)=(-21.7542 , 19.4395)
273: (x,y)=(-21.9285 , 17.4471)
274: (x,y)=(-20.5392 , 18.8858)
275: (x,y)=(-19.9545 , 16.9731)
276: (x,y)=(-18.6162 , 15.4869)
277: (x,y)=(-18.9978 , 13.5236)
278: (x,y)=(-20.9104 , 14.1083)
279: (x,y)=(-21.4617 , 12.1858)
280: (x,y)=(-19.5946 , 12.9026)
281: (x,y)=(-21.5942 , 12.9375)
282: (x,y)=(-23.593 , 13.0073)
283: (x,y)=(-22.4459 , 14.6456)
284: (x,y)=(-24.2585 , 15.4908)
285: (x,y)=(-24.6401 , 13.5275)
286: (x,y)=(-25.9257 , 11.9955)
287: (x,y)=(-27.8953 , 11.6482)
288: (x,y)=(-28.8033 , 13.4302)
289: (x,y)=(-27.4393 , 14.8929)
290: (x,y)=(-28.9256 , 13.5546)
291: (x,y)=(-30.5836 , 12.4362)
292: (x,y)=(-28.6518 , 11.9186)
293: (x,y)=(-27.3397 , 10.4092)
294: (x,y)=(-25.8076 , 9.1236)
295: (x,y)=(-27.3397 , 10.4092)
296: (x,y)=(-25.9757 , 8.94647)
